,Year Code,County,Deaths,Population,Crude Rate
120,1999,"Calhoun County, AR",0.0,5764.0,0.0
121,1999,"Carroll County, AR",,25062.0,
122,1999,"Chicot County, AR",0.0,14265.0,0.0
123,1999,"Clark County, AR",0.0,23490.0,0.0
124,1999,"Clay County, AR",,17707.0,
125,1999,"Cleburne County, AR",,23806.0,
126,1999,"Cleveland County, AR",0.0,8589.0,0.0
127,1999,"Columbia County, AR",0.0,25614.0,0.0
128,1999,"Conway County, AR",0.0,20275.0,0.0
129,1999,"Craighead County, AR",0.0,81038.0,0.0
130,1999,"Crawford County, AR",,52708.0,
131,1999,"Crittenden County, AR",,50530.0,
132,1999,"Cross County, AR",0.0,19589.0,0.0
133,1999,"Dallas County, AR",0.0,9272.0,0.0
134,1999,"Desha County, AR",0.0,15351.0,0.0
135,1999,"Drew County, AR",0.0,18683.0,0.0
136,1999,"Faulkner County, AR",,84633.0,
137,1999,"Franklin County, AR",,17779.0,
138,1999,"Fulton County, AR",0.0,11519.0,0.0
139,1999,"Garland County, AR",,87177.0,
140,1999,"Grant County, AR",0.0,16312.0,0.0
141,1999,"Greene County, AR",0.0,36881.0,0.0
142,1999,"Hempstead County, AR",0.0,23536.0,0.0
143,1999,"Hot Spring County, AR",,30155.0,
144,1999,"Howard County, AR",0.0,14371.0,0.0
145,1999,"Independence County, AR",,33951.0,
146,1999,"Izard County, AR",0.0,13145.0,0.0
147,1999,"Jackson County, AR",,18617.0,
148,1999,"Jefferson County, AR",,84178.0,
149,1999,"Johnson County, AR",0.0,22656.0,0.0
150,1999,"Lafayette County, AR",0.0,8643.0,0.0
151,1999,"Lawrence County, AR",0.0,18003.0,0.0
152,1999,"Lee County, AR",,12719.0,
153,1999,"Lincoln County, AR",0.0,14474.0,0.0
154,1999,"Little River County, AR",,13565.0,
155,1999,"Logan County, AR",0.0,22223.0,0.0
156,1999,"Lonoke County, AR",,51807.0,
157,1999,"Madison County, AR",0.0,14003.0,0.0
158,1999,"Marion County, AR",0.0,15951.0,0.0
159,1999,"Miller County, AR",,40391.0,
160,1999,"Mississippi County, AR",,52034.0,
161,1999,"Monroe County, AR",0.0,10387.0,0.0
162,1999,"Montgomery County, AR",0.0,9089.0,0.0
163,1999,"Nevada County, AR",,10066.0,
164,1999,"Newton County, AR",0.0,8475.0,0.0
165,1999,"Ouachita County, AR",,28954.0,
166,1999,"Perry County, AR",,10097.0,
167,1999,"Phillips County, AR",,26817.0,
168,1999,"Pike County, AR",0.0,11155.0,0.0
169,1999,"Poinsett County, AR",,25525.0,
170,1999,"Polk County, AR",,20079.0,
171,1999,"Pope County, AR",0.0,54300.0,0.0
172,1999,"Prairie County, AR",0.0,9590.0,0.0
173,1999,"Pulaski County, AR",29.0,360312.0,8.04858011945203
174,1999,"Randolph County, AR",,18156.0,
175,1999,"St. Francis County, AR",,29353.0,
176,1999,"Saline County, AR",,82130.0,
177,1999,"Scott County, AR",,10977.0,
178,1999,"Searcy County, AR",0.0,8178.0,0.0
179,1999,"Sebastian County, AR",,113302.0,
180,1999,"Sevier County, AR",0.0,15741.0,0.0
181,1999,"Sharp County, AR",0.0,16878.0,0.0
182,1999,"Stone County, AR",0.0,11391.0,0.0
183,1999,"Union County, AR",,45706.0,
184,1999,"Van Buren County, AR",,16105.0,
185,1999,"Washington County, AR",,154627.0,
186,1999,"White County, AR",,66359.0,
187,1999,"Woodruff County, AR",,8855.0,
188,1999,"Yell County, AR",,20918.0,
189,1999,"Alameda County, CA",102.0,1427114.0,7.1472916669586315
190,1999,"Alpine County, CA",,1205.0,
191,1999,"Amador County, CA",,34903.0,
192,1999,"Butte County, CA",17.0,201282.0,8.445862024423446
193,1999,"Calaveras County, CA",,40000.0,
194,1999,"Colusa County, CA",,18620.0,
195,1999,"Contra Costa County, CA",97.0,936983.0,10.352375656762183
196,1999,"Del Norte County, CA",,27624.0,
197,1999,"El Dorado County, CA",22.0,154381.0,14.250458281783379
198,1999,"Fresno County, CA",96.0,789405.0,12.161058012047048
199,1999,"Glenn County, CA",,26332.0,
200,1999,"Humboldt County, CA",14.0,126676.0,11.05181723451956
