="Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2023 "	"2023"	"65-74 years"	"65-74"	"Male"	"M"	7216	16335080	44.1749
	"2024 (provisional)"	"2024"	"15-24 years"	"15-24"	"Female"	"F"	39	21463206	0.1817
	"2024 (provisional)"	"2024"	"15-24 years"	"15-24"	"Male"	"M"	95	22423446	0.4237
	"2024 (provisional)"	"2024"	"25-34 years"	"25-34"	"Female"	"F"	729	22483329	3.2424
	"2024 (provisional)"	"2024"	"25-34 years"	"25-34"	"Male"	"M"	1506	23059187	6.5310
	"2024 (provisional)"	"2024"	"35-44 years"	"35-44"	"Female"	"F"	2094	22028457	9.5059
	"2024 (provisional)"	"2024"	"35-44 years"	"35-44"	"Male"	"M"	4396	22362236	19.6581
	"2024 (provisional)"	"2024"	"45-54 years"	"45-54"	"Female"	"F"	2777	20306672	13.6753
	"2024 (provisional)"	"2024"	"45-54 years"	"45-54"	"Male"	"M"	6267	20187109	31.0446
	"2024 (provisional)"	"2024"	"55-64 years"	"55-64"	"Female"	"F"	4018	21350566	18.8192
	"2024 (provisional)"	"2024"	"55-64 years"	"55-64"	"Male"	"M"	9510	20503845	46.3815
	"2024 (provisional)"	"2024"	"65-74 years"	"65-74"	"Female"	"F"	2538	18350204	13.8309
	"2024 (provisional)"	"2024"	"65-74 years"	"65-74"	"Male"	"M"	6885	16335080	42.1486
