="Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2004"	"2004"	"55-64 years"	"55-64"	"Female"	"F"	1218	15185747	8.0207
	"2004"	"2004"	"55-64 years"	"55-64"	"Male"	"M"	4224	14119557	29.9160
	"2004"	"2004"	"65-74 years"	"65-74"	"Female"	"F"	660	10110363	6.5280
	"2004"	"2004"	"65-74 years"	"65-74"	"Male"	"M"	2232	8557170	26.0834
	"2005"	"2005"	"15-24 years"	"15-24"	"Female"	"F"	22	20657595	0.1065
	"2005"	"2005"	"15-24 years"	"15-24"	"Male"	"M"	127	21788574	0.5829
	"2005"	"2005"	"25-34 years"	"25-34"	"Female"	"F"	136	19547698	0.6957
	"2005"	"2005"	"25-34 years"	"25-34"	"Male"	"M"	405	19710949	2.0547
	"2005"	"2005"	"35-44 years"	"35-44"	"Female"	"F"	945	21865343	4.3219
	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	2336	21640195	10.7947
	"2005"	"2005"	"45-54 years"	"45-54"	"Female"	"F"	1894	21614529	8.7626
	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	5569	20881375	26.6697
	"2005"	"2005"	"55-64 years"	"55-64"	"Female"	"F"	1314	15868410	8.2806
	"2005"	"2005"	"55-64 years"	"55-64"	"Male"	"M"	4616	14773087	31.2460
	"2005"	"2005"	"65-74 years"	"65-74"	"Female"	"F"	689	10198569	6.7558
	"2005"	"2005"	"65-74 years"	"65-74"	"Male"	"M"	2133	8683128	24.5649
	"2006"	"2006"	"15-24 years"	"15-24"	"Female"	"F"	26	20836077	0.1248
	"2006"	"2006"	"15-24 years"	"15-24"	"Male"	"M"	123	22007767	0.5589
	"2006"	"2006"	"25-34 years"	"25-34"	"Female"	"F"	141	19626340	0.7184
	"2006"	"2006"	"25-34 years"	"25-34"	"Male"	"M"	496	19768839	2.5090
	"2006"	"2006"	"35-44 years"	"35-44"	"Female"	"F"	991	21727611	4.5610
	"2006"	"2006"	"35-44 years"	"35-44"	"Male"	"M"	2246	21516190	10.4387
	"2006"	"2006"	"45-54 years"	"45-54"	"Female"	"F"	1960	22011575	8.9044
	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	5636	21274584	26.4917
	"2006"	"2006"	"55-64 years"	"55-64"	"Female"	"F"	1391	16532054	8.4140
	"2006"	"2006"	"55-64 years"	"55-64"	"Male"	"M"	4736	15398059	30.7571
	"2006"	"2006"	"65-74 years"	"65-74"	"Female"	"F"	630	10350638	6.0866
	"2006"	"2006"	"65-74 years"	"65-74"	"Male"	"M"	2158	8852389	24.3776
